apple|苹果
alabastrine|雪花石膏制的, 光洁雪白的
allotment|分配, 拨款, 命运
auxiliar|[古语]= auxiliary
allumette|[法语]火柴
awd|全时四轮驱动；全轮驱动（All Wheel Drive）
atap|(马来亚屋的)聂帕榈屋顶
ancientness|古老
apotype|次模
anarchic|无政府的, 无政府主义的, 无规律的
abets|飞机信标电子试验装置
agr|改进型气冷反应堆（advanced gas-cooled reactor）
acacatechin|[医] 黑儿茶素
acorns|橡子, 栎实( acorn的复数形式 )
antifungin|[化] 抗丝菌素; 硼酸镁
avertable|可避开的, 可防止的(亦作avertible)
astrid|阿斯特丽德(f.)
arianrhod|[网络] 阿瑞安赫德；昂若德；阿莉昂若德
autotelic|本身具有目的的
accumulative|积聚而成的, 累积的
acrux|[天]南十字星座中的一个星
altocumulus|高积云
armour|甲胄, 装甲, 潜水服
abrade|擦伤, 磨损, 磨
areolet|昆虫翅脉的间隙
aponeurotic|[解]腱膜的
advection|平流
augitic|augite的变形
apathetical|冷淡的;无动于衷的
adjudicated|裁定；宣判
atrypa|无孔蜿, 无穴蜿；无洞贝属
appareled|给…穿衣服（尤指华丽或特殊的服装）( apparel的过去式和过去分词 )
accompt|,v.<古>=account
accents|重音( accent的名词复数 ); 口音; 强调; 读音符号（标在字母上）
appositively|appositive（并置的, 同位语的）的变形
absented|缺席的；缺少的；心不在焉的；茫然的
agamete|[生]非配偶子
accelerated|加快的
atomist|持原子说者, 原子论者
armistices|停火( armistice的复数形式 ); 停战; 休战协议; 停战协议
acetonic|丙酮的
acetamide|[化] 乙酰胺
aforetime|从前, 以前
abutilon|苘麻属植物
amphibiotic|[动]幼时生长于水中,长大生活在陆地的
antithenar|[医] 小鱼际
analogized|以类推法表明或解释( analogize的过去式和过去分词 ); 类推
antilipase|[化] 抗脂酶
acclimation|服水土, 顺应, 适应环境
anomia|[医] 称名不能, 失命名能
afenil|阿菲尼尔(成药, 即氯化钙脲)
autorrhaphy|[医] 自体皮片盖合术
algophilia|嗜痛癖; 嗜痛症
anomalistic|不规则的, 反常的, 近点的
aftersound|余音,回音
antiknocks|抗震剂
ambushes|埋伏( ambush的名词复数 ); 伏击; 埋伏着的人; 设埋伏点
absents|缺席, 不参加, 不在( absent的第三人称单数 )
autotypic|autotype的变形
acrania|[医] 无颅[畸形]
arcsin|arcsine 反正弦
aphrodite|阿佛洛狄特(爱与美的女神)
ammoniticone|菊石壳
aspirant|怀抱大志者, 野心家
arrowroot|竹芋
ambrosiaceae|[网络] 豚草科；豕草科
apelet|(=apeling)小猿
atechnic|无技术知识的人, 无一技之长者
audrey|奥德丽（女子名）
atrocha|无轮幼虫
alaskite|白(花)岗岩
autoptical|尸体剖检, 实地观察, 亲自勘察, 尸体解剖, 尸检
automaticity|自动性
arpeggiation|写或弹奏琶音音谱
anapophysis|[医] 副突(胸椎,腰椎)
admirers|赞赏者( admirer的复数形式 ); 羡慕者; 崇拜者; （女子的）爱慕者
autrefois|[法] 另一时间:以前
agronomical|[农学] 农艺学的
adelphogamy|子母胞结合
agaricaceous|[植] 菌蕈科的
agnail|逆剥, 化脓性指头炎
adman|广告撰写员, 广告商
adversities|逆境；灾难（adversity的复数）
acetochloral|三氯乙醛, 氯醛
alem|(Alem)人名；(西、埃塞)阿莱姆；(阿拉伯)阿利姆
apepsy|【病理学】消化不良
astrionics|[电] 天文电子
affrights|惊吓, 恐怖（affright的第三人称单数形式）
astrologic|星占学的, 占星术的
arraigned|提审；控告；责难（arraign的过去分词）
adfluxion|[机] 汇流
artistries|(artistry 的复数) n. 艺术性
aviaries|大鸟笼( aviary的名词复数 ); 鸟舍; 鸟类饲养场; 鸟类饲养者
adobes|(adobe 的复数) n. 风干土坯
adynamia|体力缺乏, 无力
airlight|空气光
ataghan|(土耳其人用的)弯刀, 军刀, 马刀
archiphoneme|[语]原(始)音位,原(始)音素,超音位(素)
auspice|吉兆, 占卜, 赞助
apparelling|使装饰；给穿
akindle|[网络] 点燃
angrier|生气的；愤怒的；狂暴的；（伤口等）发炎的 (angry的变形)
asteraceae|[植] 菊科
anapnea|[医] 窒息解除, 呼吸
antithrombin|[化] 抗凝血酶
addy|阿迪（男子名）
athrill|激动的, 兴奋的
atomy|微粒, 微小之物, 矮人
americanisms|[美国英语]；美国(或美洲)特有的习俗(或风尚)；美国(或美洲)人的特性(或信仰)；美国(或美洲)文化的特点
aflare|& adv.闪耀着
averil|(Averil)人名；(英)埃夫丽尔
ambage|模棱两可, 迂回的说法, 间接的说法
alsike|紫苜蓿之一种
acone|无晶锥
arles|阿尔勒（法国东南部城市）
aniseikonic|两眼物像不等症的
apyrexial|[医] 无热的, 无热期的, 热无从期的
araceae|[医] 天南星科
ayre|[人名] [英格兰人、苏格兰人姓氏] 艾尔 Ayer的变体
athamantin|[化] 阿塔曼苦素
aswirl|旋转的
advantaging|优势；利益；有利条件
armguard|护手
aenigmatite|[矿]三斜闪石
anaphrodisia|[医]性欲缺失
amblyope|弱视者
anisette|[化] 茴香酒
anatriptic|[医] 揉擦剂
auding|[心]听懂(指对口头语言的听、辨认和理解的过程)
arrestee|被逮捕者
affirmance|断言, 确认
aftmost|最后的；靠近船尾的（等于aftermost）
ankylophobia|[医] 关节强硬恐怖
adenomyoma|腺肌瘤
acquiesces|默认, 默许( acquiesce的第三人称单数 )
accedence|答应
apanthropia|[医] 远人症; 远男症
aquage|水路
ammoniation|[化]含氨化合物
acclimatize|使适应新环境, 使服水土
apparatchiks|(apparatchik 的复数) n. 共产党官员；职业政党工作人员
alderwoman|市政委员会女委员
attains|（通常经过努力）实现( attain的第三人称单数 ); 达到; 获得; 达到（某年龄、水平、状况）
ascendance|优越, 权势
adustion|可燃性, 烘焦
argovian|阿尔高夫亚阶, 阿哥维阶
aquaria|pl. 养鱼池, 养鱼缸, 水族馆
araeostyle|[建]对柱式建筑物
aecial|aecium的变形
alumine|[医] 氧化铝
apprizer|apprize的变形；apprize的变形
astigmatical|散光的, 矫正散光的
antics|滑稽动作, 古怪姿态
alewives|啤酒店女主人
annunciatory|可预告作用的, 预告的
alutaceous|牛皮色的
archeologist|考古学家
abiology|(=anorganology)非生物学
arthropodous|[医] 节肢动物的
adenia|淋巴腺增生病
abominator|厌恶者
airdropped|空投( airdrop的过去式和过去分词 )
avery|艾弗里（男子名）
amenably|顺从地, 服从地
augmenting|增加；使扩张（augment的ing形式）
aboveboard|光明正大地, 率直地
angiotonin|[化] 血管紧张肽
abreact|发泄
anisotropal|[医] 各向异性的
antileukemic|抗白血病的
accoutred|装备；供以军用品；供以服装
aleutians|阿留申群岛（等于Aleutian Islands）
adlay|薏苡
acquittance|债务豁免书, 清偿, 清欠收据
asher|亚瑟（犹太民族的祖先之一, 雅各的第八个儿子）
angico|巴西树胶, 产巴西树胶的豆科荚果植物
anthrylene|[化] 亚蒽基
arthropathy|关节病
achromaturia|无色尿
antimycotic|抗真菌的, 杀真菌的
anconal|[医] 肘的
asphalting|铺沥青于, 铺柏油于( asphalt的现在分词 )
adventist|基督复临论者
abominably|可恶地, 讨厌地, 极端地
achitophel|亚希多弗(基督教《圣经》中大卫王的谋士)
aftertime|今后, 将来
accus|accusative 对格（的）, 宾格（的）
agamidae|鬣蜥科，[脊椎] 飞蜥科
anticlastic|[数]互反的,鞍形面的
anesthyl|[网络] 麻醉
anisochromia|[医] 色素不均
anabaena|淡水藻类的一种, 项圈藻
autarchic|独裁的, 专制国家的
antilog|[计] 反对数
austenite|[机] 沃斯田铁, 沃斯田体
aforesaid|上述的, 前述的
almondy|adj. almond的变形
articling|订约（article 的现在分词形式）
angling|钓鱼, 钓鱼术
alphyl|[机] 脂苯基
accruement|获利, 利息, 自然增长
ambuscaded|埋伏, 伏击( ambuscade的过去式和过去分词 )
adversion|[医] 内转
archdukes|大公，皇太子
apopetalous|[植]离生花瓣的
animous|意图（律师）
assumptive|假定的, 设想的, 傲慢的, 僭越的
adenectopia|腺异位
awns|(awn 的复数) n.[植]芒,谷刺
anthela|[医] 芦花絮
ariot|骚乱地, adj.长得过于茂盛的
alist|船向一边倾斜的
adenogenesis|[医] 腺发生
amylosis|[医] 蛋白样变性
appendixes|pl. 附件, 附庸, 附属物, 附录, 阑尾, 蚓突
accosted|勾引；引诱；对…说话；搭讪
analgesics|止痛剂, 镇痛剂( analgesic的复数形式 )
alsbachite|榴云细斑岩
angriest|愤怒的( angry的最高级 ); 生气的; （天气等）恶劣的; （伤口）疼痛的
aquas|(aqua 的复数) [医] 水, 水剂
albuginea|[医] 白膜
appliers|(applier 的复数) n. 灌肠器, 填充器
ascenseur|<法> n.电梯
assuredly|确实地, 无疑地, 确信地
autosomes|(autosome 的复数) n. 常染色体
allottees|(allottee 的复数) n. 接受分配的人
assimilated|吸收
ankyloses|[医] 关节强硬
alchemy|炼金术, 魔力
acetin|[化]醋精,甘油醋酸酯,乙酸甘油酯
amerce|罚款, 罚钱, 惩罚
allegories|寓言
auditoria|pl. 听众席, 礼堂
ancones|托架
ambiances|(ambiance 的复数) n. 气氛；周围环境（等于ambience）
agennetic|[医] 发育不全的; 无生殖力的
acylate|[建] 酰化, 酰化产物
acroter|山尖形装饰(用于大钟)
anodon|无齿蚌
anagyrine|[化] 臭豆碱
allalinite|蚀变辉长岩
arillode|假性假种皮
ancients|古代的( ancient的复数形式 ); 古老的; 年老的; 老式的
antitank|反坦克的
acetotoluide|[化] N-乙酰甲苯胺
absterge|洗净, 擦去
almoners|(almoner 的复数) n. 施赈人员
autogenous|自生的
aggrandising|(aggrandise 的现在分词) vt. 扩大某人的权力; 提高某人的地位; 夸大; 吹捧
agenesis|无生殖力, 发育不全
attires|使穿上衣服, 使穿上盛装( attire的第三人称单数 )
arb|空气资源委员会（Air Resources Board）；航空注册局（Air Registration Board）；航空研究局（Air Pesearch Bureau）
audios|(audio 的复数) a. 音频的, 声音的
auxotox|成毒基
acatharsy|[医] 排泄不能
amyotrophy|[医] 肌萎缩
ankaratrite|橄榄霞岩
aspherical|非球面的
attapulgite|绿坡缕石
anastomoses|pl. 吻合, (血管的)交织, 吻合术
appalachians|[pl.] [theAppalachians]阿巴拉契亚山脉[北美洲]
alkanes|(alkane 的复数) [化] 烷烃; 链烷烃
akerite|英辉正长斑岩
atomism|原子说, 原子论
ablated|融化( ablate的过去式和过去分词 )
auberge|小旅馆, 小客栈
atwain|<古>[诗]成双, 分为二
alcelaphus|[网络] 狷羚属；麋羚属
aitch|H, h的字母, h音
acetophenone|[化]乙酰苯,苯乙酮,苯基甲基甲酮
acetylamine|乙酰胺
asperating|粗糙的
ambystoma|钝口螈属
assized|法令, 条令；巡回审判；法定标准
altricial|孵出后需母鸟照顾一段时期的, 晚成雏的
antibilious|抗胆道疾病的
akkadian|阿卡得人(语)
amphitryon|安菲特律翁(底比斯王)
armigers|(armiger 的复数) n. 有佩纹章资格的人, 替骑士拿盔甲的侍从
anoperineal|[医] 肛门会阴的
alife|(Alife)人名；(意)阿利费
amen|interj. 阿门
automatist|自动论者
applausively|喝彩地;称赞地
audibleness|[计]能听度; [计]能见度
affiance|信赖, 婚约
academism|(=academicism)学院派, 学院风气
apophysial|[医] 骨突的
arteriole|小动脉
acephalocyst|[医] 无头囊
apotypic|[生]非典型的, 有变形的
adriana|阿德里亚娜（女子名）
agism|歧视老年人
associator|社员；伙伴；会员
autosomal|[医] 正染色体的, 常染色体的
ajuga|筋骨草
aerography|气象学
argentamine|银胺液
astigmatic|散光的, 矫正散光的
algivorous|[网络] 有气质的
accommodable|可适应的；可适合的
abrim|充满着
applecart|苹果小贩手推车
archonship|古雅典执政官之职
achenium|[医] 瘦果
almoner|施赈人员
antichlor|[化]阴氢剂
aguamiel|[医] 龙舌兰汁
avantgarde|先锋的, 标新立异的, 创始的, 先驱的
adipocele|[医] 脂肪突出
almonds|杏树( almond的复数形式 ); 杏仁色; 杏仁状的东西; 扁桃仁
afwillite|柱硅钙石, 水合硅酸钙
actinograph|曝光表
auxohormone|[医] 维生素
anglophilic|Anglophile, Anglophil的变形
astoundment|震惊, 惊讶
aspidistras|(aspidistra 的复数) n. 蜘蛛抱蛋
abjuration|发誓断绝, 公开放弃
alsifilm|铝硅片
afforest|造林于空地
amebula|[医] 变形虫样孢子, 假孢子虫
azorite|锆石
azurite|蓝铜矿
anseriformes|[鸟] 雁形目；雁鸭目
aspiring|有抱负的, 有志气的
alkalescence|微碱性, 碱化
autopsist|尸体解剖家
activistic|激进的, 激烈的, 强烈的；激进(主义)分子的, 行动主义(分子)的(＝ activist)
acequia|(美国西南部的)灌溉水渠
antiflux|抗焊媒
artarine|[医] 阿他素, 非洲花椒硷
anciently|以往, 古代
atracheate|无气管的
alloxan|[化]阿脲,四氧嘧啶
ake|密钥交换（Authenticated Key Exchange）；肢端角化性弹性组织角化症（acrokeratoelastoidosis）；（阿克）反精英键盘记录（Anti-Keylogger Elite）
aristo|<英口>(一个)贵族
amphibia|两栖类
annelida|[动]环节动物门, 环虫类
autoallogamy|自异体受精
aloneness|孤独感
acentric|无中心的
alkane|[化] 烷烃; 链烷烃
afterhours|业余的
ankylodontia|[医] 牙根并合
aftershock|余震
anthropoglot|[医] 能人言的(鹦鹉)
assentive|（特指盲从式的）同意; 赞成; 听从; 附和
aspersions|(aspersion 的复数) n. 诽谤, 中伤, 洒水
abiogenist|自然发生论者
anaerophyte|[生]厌氧植物
arquebusier|火绳枪兵
amalgams|汞合金( amalgam的复数形式 ); 混合物
annuals|年历记载；一年出版一次的书；一年生植物；一年一度的事件；年度报告（annual的复数）
antic|滑稽动作
adjuratory|誓言的, 恳求的
aridness|干燥
antatrophic|防止萎缩之药物
artel|(苏联的)合作社
aphides|蚜虫（aphis的复数）
affrighted|惊吓；恐怖
amperometric|[物]安培计的, 电流计的
algic|[网络] 阿尔吉克语系；亚尔吉克语系；阿尔吉克语组
antediluvial|[地质]前洪积世
advisedness|advised的变形
ayatollahs|(ayatollah 的复数) n. 阿亚图拉（对伊朗等国伊斯兰教什叶派领袖的尊称）
apneustic|[医] 长吸呼吸的
anomalism|变态,反常,畸形物
arabinoside|[生化]阿拉伯糖苷
anechoic|无回声的, 无反响的
aiblins|<苏格兰>可能,也许
allantois|尿囊
alterations|改变；变更；服装修改（alteration的复数）
ajog|慢步而行的
abbeys|大修道院, 大寺院；修道院中全体修士或修女
arbitrament|仲裁, 裁决权, 仲裁结论
amyloidosis|[医] 淀粉样变性
angiogram|[医]血管造影(照)片
arbutin|[化] 熊果苷; 对苯二酚葡糖苷
annunciation|宣布, 通告
arraigns|告发( arraign的第三人称单数 ); 控告; 传讯; 指责
absolutory|给予赦免的, 给予宽恕的
astrologers|占星家( astrologer的复数形式 )
auxins|(auxin 的复数) n. 植物激素
anseres|[网络] 雁鸭亚目
axodendrite|轴索旁支
admirations|(admiration 的复数) n. 赞赏, 钦佩, 引人赞赏的对象
abbasi|(Abbasi)人名；(阿拉伯)阿巴西；(巴基)阿巴西
athapaskan|(自阿拉斯加、加拿大至墨西哥一带的)阿萨巴斯卡语组；阿萨巴斯卡语组诸语言之一
argentine|银, 银白色金属, 银白色鱼鳞, 阿根廷人
acetylating|加乙酰基于( acetylate的现在分词 )
amyotrophia|肌萎缩
antiochian|,adj. Antioch的变形
akmite|(=acmite)锥辉石
aardvarks|(aardvark 的第三人称 -s形式) n. 土豚
accrescent|成长的, 增大的
aery|猛禽的巢, 高处的房子, 高处的城堡
attempers|调度, 调节；冲淡；使缓和
astrol|astrology 占星术, 占星学（以观测天象来预卜人间事务的一种方术）
arefaction|除湿, 干燥
anchylosed|使黏连；胶合；使关节僵直
anole|变色龙
audiphone|助听器
asshole|屁眼儿, 肛门；令人讨厌的人
arrowworm|[动]箭虫(毛颚动物门箭虫科动物)
aromatize|使芳香
adelocodonic|隐铃的
alden|奥尔登（男子名）
apellous|[医] 无皮的; 无包皮的
adductive|内收的, 能内收的
atheromasia|动脉粥样变性
agglomerator|(电气除尘器的)沉降电极
arborists|树木栽培家；树木研究者；树艺家
annexe|附加物, 附属建筑
aluminide|铝化合物
argiopidae|[网络] 金蛛科；金蜘蛛科
apneusis|(低等脊椎动物的)长吸式呼吸
areopagitica|《论出版自由》(John Milton 著,1644年出版)
abstractors|(abstractor 的复数) n. 萃取器；摘录者
agt|[医][=abnormal glucose tolerance]异常葡萄糖耐量
amidone|〈药〉美沙酮（镇静剂）
abelmoschus|[医] 秋葵属
anopheles|按蚊,疟蚊
aob|倾斜角（angle of bank）
acclimatable|acclimate的变形
antilogies|前后矛盾
apomixis|单性生殖, 孤雌生殖
anovulant|[药]抑止排卵之药物
assailants|攻击者( assailant的复数形式 )
antihum|抗哼; 哼声消除器; 交流声消除
apagogic|【逻辑学】反证法的；与反证法有关的
antijam|抗[反]干扰
autoanalysis|自我心理分析
attendances|出席( attendance的复数形式 ); 参加; 出席次数; 出席人数
accentless|accent的变形
aproctia|[医] 锁肛, 无肛
asciferous|[植]具子囊的
autotype|摹真本, 碳印法, 碳印法的相片
aptness|适合性, 倾向, 才能
auricyanide|[机] 氰金酸盐
aerotropism|向气性, 趋气性
asphyxiator|窒息剂, 动物窒息器
asgmt|assignment 分配; 委派; 任务; （课外）作业
agape|张口发呆的, 目瞪口呆的
arbitrager|[经] 套汇人, 套利人
antemortem|临死前的
arf|int. 汪(狗吠声)
ankerite|[矿]铁白云石
apposable|可并置的,(拇指)能曲伸而触及其他四指指尖的
anastasis|恢复, 复原
amylogen|[化]淀粉溶质
alienating|使疏远
amsel|(Amsel)人名；(德、英)阿姆泽尔
aleut|(爱斯基摩人中的)阿留申人, 阿留申语
agreeing|同意（agree的ing形式）
astigmat|散光透镜
anastatic|[印]凸版的, 锌版术的
arboretums|(arboretum 的复数) n. 树木园, 植物园
airs|装腔作势, 摆架子
accented|带…腔调的；带…口音的
acor|[医] 酸涩; 辛辣
alkalimetric|[机] 碱量滴定的
alastor|死刑执行者；阿拉斯托耳；复仇神（宙斯作为复仇者时的别称）
amphimacer|扬抑扬格, 长短长格
asgd|assigned 分配的, 指定的, 委派的
ashkenazic|Ashkenazi的变形
autacoidal|autacoid的变形
alluviums|[地质] 冲积层, 冲积土
annullable|可废止的；取消的
ascendancy|优势, 支配地位
antitabetic|[医] 抗脊髓痨剂; 抗脊髓痨的
avertin|阿佛丁(一种麻醉剂学名三溴乙醇)
arrhenotoky|产雄单性生殖
allayment|allay的变形
acquiesced|默许；勉强同意
attercop|蜘蛛; 易怒的人, 脾气坏的人
arteriarctia|动脉狭窄, 动脉缩窄
anisopia|两眼视力不等, 不同视
absciss|脱离
autotomize|自割, 自行分裂
aldimine|[化] 醛亚胺
allotee|(=allottee)受分配的人,接受分配物的人
aeronautics|航空学, 飞行术
arses|肛门, 屁股( arse的复数形式 ); 强音部, 上拍( arsis的复数形式 )
alinement|排成直线, 排列
appalachia|阿巴拉契亚[美国东部一地区]
antanemic|[医] 补血的, 补血药
ambuscadoed|[古语] = ambuscade
averse|不愿意的, 反对的
aeruginous|蓝绿色的, 铜绿色的
aquaplanes|乘滑水板滑行
abrasively|有磨蚀作用, 使人厌烦, 粗鲁
angakok|(=angekok)爱斯基摩人的巫医
approximates|近似, 接近( approximate的第三人称单数 ); 近似计算, 概略估算
acesodynous|[医] 止痛的
acetated|用醋酸处理过的
antietam|安蒂特姆河（美国河流名）
awless|无威仪的, 不知畏惧的
aminta|(Aminta)人名；(英)阿明塔
adorner|装饰器（电脑工具软件名称）
armholes|袖孔( armhole的复数形式 )
aldohexose|[化]己醛醣
acclivity|上坡
adulteration|掺杂, 掺假的东西
advertently|谨慎地
accentor|鸣禽, 领唱者
argyrythrose|深红银矿
ambe|advanced multi-band excitation (vocoder) 高级多频段激励（声码器）
astraean|【无脊椎动物】星珊瑚的, 与星珊瑚有关的
angiorrhexis|[医] 血管破裂
antiphrasis|词义反用法
apophysitis|骨突炎
annette|安妮特（女子名）
antalgesic|[医] 止痛的, 止痛药
abortively|失败地；流产地
ambuscading|埋伏, 伏击( ambuscade的现在分词 )
acridan|[化] 9,10-二氢化吖啶
aerobiology|空气生物学
antimissile|反导弹的
apologete|(基督教)护教学专家
animalism|兽欲
astraphobia|[心]闪电恐怖
acylating|[建] 酰化的, 酰化(作用)
agrypnode|[医] 醒态的; 阻睡药
acontia|[复数] 【动物】枪丝
archdioceses|大主教的管区( archdiocese的复数形式 )
antimeric|[动]对称部分的, 体辐的
archie|[计] 挡案查访工具
alix|阿利克斯（人名）
americanese|美国英语
abstracted|心不在焉的, 出神的, 分离出的
ammo|军火, 弹药
anonymuncule|无足轻重的匿名作者
abled|[前面往往带副词] (体格)强壮的, 身体(或体格)健全的；无残疾的
atelene|不完全晶面
agrimony|龙芽草
anis|茴香酒
adenoblast|[医] 成腺细胞
apres|在…以后
aperea|(=perea)野豚鼠
auramine|[化]金胺, (碱性)槐黄(一种染料)
afterword|后记
acrididae|蝗科
aboding|住处；营业所
alcyonaria|[无脊椎] 海鸡冠亚纲
allegations|陈述( allegation的复数形式 ); 宣称; 陈词; 指控
anthracin|[医] 炭疽菌素
angerless|anger的变形
actinometry|辐射测量学
aileron|副翼
adiaphoresis|[医]不能出汗,无汗
ambulate|移动, 步行, 走动
acerbities|(acerbity 的复数) n. 涩, 酸, 尖刻
assegai|(=assagai)南非土人所用的长矛, (可用以制长矛)南非山茱萸科乔木
adrienne|艾德丽安(f.)
asphaltene|[油气] 沥青质；[油气] 沥青烯
antifoggant|[化] 防翳剂
artinite|水纤菱镁矿
aubade|<法>(短小的)抒情器乐曲,晨歌,黎明曲
apatite|磷灰石
antedon|[网络] 海羊齿；海羊齿属；海羊齿类
anemometry|风速风向测定法
ambassadors|大使( ambassador的复数形式 ); （派驻联合国等国际组织的）代表; 特使; [比喻]使者
acquirement|取得, 得到, 获得, 学到的东西
antiradical|反激进主义的
antagonising|(antagonise 的现在分词) vt. 对...起反作用, 使成为仇敌, 招...的怨, 引起...的敌对, 抵销, 中和
agonizingly|使人烦恼地；苦闷地
anosia|[医] 健壮, 健康
antiprostate|[医] 尿道球腺
amphistoma|[医] 端盘[吸虫]属, 双口吸虫属
artifactual|人造的, 人工制造的, 加工的
antimetropia|[医] 屈光参差(两眼屈光性质不同,一眼远视,一眼近视)
abord|(Abord)人名；(法)阿博尔
auscultate|听诊
asphyctous|[医] 窒息的
avicide|杀鸟剂
antarthritic|关节炎治疗剂
alstonidine|[化] 鸡骨常山次碱
amorphia|[医] 无定形[现象], 非晶形[现象]
acataphasia|连贯表意不能, 言语失序, 言语失调, 联字缺陷
antitropous|倒向的
aquatintist|凹版腐蚀制版法 (aquatint的变形)
achlamydeous|[植]无花被的
ancillary|从属的, 辅助的, 副的
adenoiditis|增殖腺炎
aphrodisiacs|壮阳剂, 春药( aphrodisiac的复数形式 )
arikara|阿里卡拉人(美国密苏里河平原的一支印第安人)
acclimates|使适应新环境, 使服水土服水土, 适应( acclimate的第三人称单数 )
agoing|[法] 在进行中
alible|有营养的
attars|(attar 的复数) n. 香精油, 玫瑰油
adm|[计] 自适应数据库管理程序, 自动数据管理, 自动绘图机
allomorphite|贝状重晶石
alangine|[化] 八角枫碱
agitative|引起激动的
alphorn|山笛
acetylizing|[机] 乙酰化的, 乙酰化作用
anaglyphical|anaglyph的变形
arcked|弧, 弧形, 弓形, 弧光
asymmetries|(asymmetry 的复数) n. 不匀称, 不对称
acaleph|水母
als|[医] 抗淋巴细胞血清
adheres|黏附( adhere的第三人称单数 ); 附着; 坚持; 支持
aries|白羊座, 白羊宫
anvils|（铁）砧( anvil的复数形式 ); <解>砧骨
authorizable|可授权的, 可认定的, 可批准的
aequorin|(水母体内的)发光蛋白质
arpanet|[计] ARPANET网络
ammoniate|[化]氨化合物
argentum|[化]银
anticatalyst|反催化剂
autopilots|(autopilot 的复数) [化] 自动驾驶仪
androgyne|阴阳人, 具有雌雄两性的花
apocopation|apocopate的变形
alerter|报警器, 警报器；警报器服务
alliteration|头韵
afterlight|余辉, 后见之明
asterias|[宝] 星彩宝石；显星形之宝石
athar|(Athar)人名；(巴基)阿塔尔
alumstone|明矾石
azimide|[化] 联重氮亚胺
allionia|[网络] 洋葱
amende|道歉, 赔偿
aiguille|尖峰, 针状峰
avocations|(avocation 的复数) n. 副业, 嗜好
aviso|通报, 通报舰
allness|全部
apotome|腹板前部(缨尾目铗尾科), 腹板背部
algenib|[天]壁宿一(飞马座γ)
asthenia|衰弱
astronautics|航天学, 宇宙航行
auklet|小种海雀
aurobromide|溴亚金酸盐
attempering|调度, 调节；冲淡；使缓和
ataxiagraph|[医] 共济失调描记器
allanite|[矿]褐帘石
armiger|有佩纹章资格的人, 替骑士拿盔甲的侍从
arises|出现；发生；站立
arrear|逾期债款, 欠帐, 未做之事, 储备物
argiope|[网络] 艾吉欧蜈蚣；金蛛属；长圆金蛛
aucuba|[植]桃叶珊瑚
appliques|(applique 的复数) n. 嵌花, 贴花, 加缝刺绣
alligate|带蛹
aerophone|气鸣乐器
agenize|用埃净(Agene)漂白(面粉)
anury|无尾；无尾性
anaerobious|[医] 厌氧的, 乏氧的
acquiescing|默许；勉强同意
agerasia|[医] 容颜不老, 驻颜
amis|[计] 采集管理信息系统, 先进管理信息系统, 自动化管理信息系统
avgas|飞机用汽油
albiness|女性白化病人
amorpha|[医] 无定形[病], 擦烂
andirons|(andiron 的复数) n. 薪架
astomatous|无口的, 无气孔的
alphol|[化] 水杨酸α-萘酯
avianize|使禽化,通过在鸡胚中重复培养减轻(病毒、微生物)的毒力
apolitically|不关心政治地, 非政治地
appetites|欲望( appetite的复数形式 ); 胃口, 食欲
acoria|[医] 贪食, 不饱[症]
amalgam|汞合金, 汞齐
angelica|当归属植物
annomination|类语重叠
avowry|[法] 声明
azygous|不成对的
adnexopexy|(=annexopexy)子宫附件固定术
aals|绝对汇编语言（absolute assembly language）；对空探照灯（Anti-Aircraft Light）；北极航空医学实验室（Arctic Aeromedical Laboratory）
assurances|保证( assurance的复数形式 ); 担保; 把握; （人寿）保险
alkalosis|碱中毒, 碱毒(血)症
atocha|(Atocha)人名；(西)阿托查
apsidiole|[建]小半圆壁龛
amuser|amuse的变形
abray|,vi. [废语] = abraid
ataraxy|不激动, 无动于衷
arraying|数组, 阵列；排列, 列阵；大批, 一系列；衣服
antiqua|安迪瓜（瓜地马拉首都）
appreciator|欣赏者, 鉴赏者
alambique|立式蒸馏釜
astel|平巷顶板背板
authorising|(authorise 的现在分词) vt. 授权；批准；允许；委任（等于authorize）
antirabic|防治狂犬病的
acatalepsia|领会不能
axopetal|[医] 求心的, 向心的
anguished|极度痛苦的
activations|[电子][物] 激活；活化作用
anticyclonic|反旋风的
affined|有密切关系的, 受约束的
autofrettage|自紧法
antipyretics|退热剂；退烧药
amelanchier|唐棣属
arrestable|可逮捕的
albugineous|白膜的, 像白膜的
ancistrodon|[医] 蝮属(蛇)
aguish|疟疾的, 患了疟疾的
antipyretic|退热的
albizia|[医]合欢属
aggrieving|使悲痛；冒犯；侵害…的合法权利
aphorisms|格言, 警句( aphorism的复数形式 )
alloplasty|[医] 异质成形术
actinometric|actinometer的变形
anconagra|[医] 肘痛风症
attester|[网络] 证明人
apojove|[天]远木星点
acescence|[医] 酸度; 变酸
angelico|安吉里柯（意大利多明我会修士，佛罗伦萨派的画家）
appreciates|感激( appreciate的第三人称单数 ); 欣赏; （充分）意识到; 对…作（正确）评价
academicism|艺术上的墨守成规, 学究气
alcoholise|[主英国英语] ＝ alcoholize
alkanol|烷醇
accentuation|重读, 加重音符号, 强调
aimlessness|无目的, 盲目性
ascidia|瓶子状器官；瓶状叶；囊状体 (ascidium的变形)
avis|阿维斯（女子名）；阿维斯出租汽车公司（与Hertz齐名, 为美国两家最大的供旅客租用自己驾驶的出租汽车公司）
anastalsis|[医] 逆蠕动, 止血作用
amerces|罚款, 惩罚（amerce的第三人称单数形式）
